arrivaldatetime,duetime,departuredatetime,departureduetime,scheduledarrivaldatetime,scheduleddeparturedatetime,destination,destinationlocalized,origin,originlocalized,direction,operator,operatortype,additionalinformation,lowfloorstatus,route,sourcetimestamp,monitored,stopid
18/02/2020 21:26:35,3,18/02/2020 21:26:35,3,18/02/2020 21:25:00,18/02/2020 21:25:00,LUAS Tallaght,LUAS Tamhlacht,LUAS The Point,LUAS Iosta na Rinne,Outbound,LUAS,3,,no,Red,18/02/2020 21:21:43,true,luas13
18/02/2020 21:37:02,13,18/02/2020 21:37:02,13,18/02/2020 21:37:00,18/02/2020 21:37:00,LUAS Tallaght,LUAS Tamhlacht,LUAS The Point,LUAS Iosta na Rinne,Outbound,LUAS,3,,no,Red,18/02/2020 21:18:25,true,luas13
18/02/2020 21:39:56,16,18/02/2020 21:39:56,16,18/02/2020 21:40:00,18/02/2020 21:40:00,LUAS The Point,LUAS Iosta na Rinne,LUAS Tallaght,LUAS Tamhlacht,Inbound,LUAS,3,,no,Red,18/02/2020 21:21:43,true,luas13
18/02/2020 21:25:35,2,18/02/2020 21:25:35,2,18/02/2020 21:25:00,18/02/2020 21:25:00,LUAS Tallaght,LUAS Tamhlacht,LUAS The Point,LUAS Iosta na Rinne,Outbound,LUAS,3,,no,Red,18/02/2020 21:21:43,true,luas14
18/02/2020 21:36:02,12,18/02/2020 21:36:02,12,18/02/2020 21:37:00,18/02/2020 21:37:00,LUAS Tallaght,LUAS Tamhlacht,LUAS The Point,LUAS Iosta na Rinne,Outbound,LUAS,3,,no,Red,18/02/2020 21:18:26,true,luas14
18/02/2020 21:40:52,17,18/02/2020 21:40:52,17,18/02/2020 21:41:00,18/02/2020 21:41:00,LUAS The Point,LUAS Iosta na Rinne,LUAS Tallaght,LUAS Tamhlacht,Inbound,LUAS,3,,no,Red,18/02/2020 21:21:43,true,luas14
18/02/2020 21:23:36,Due,18/02/2020 21:23:36,Due,18/02/2020 21:23:00,18/02/2020 21:23:00,LUAS Tallaght,LUAS Tamhlacht,LUAS The Point,LUAS Iosta na Rinne,Outbound,LUAS,3,,no,Red,18/02/2020 21:21:43,true,luas15
18/02/2020 21:24:50,1,18/02/2020 21:24:50,1,18/02/2020 21:25:00,18/02/2020 21:25:00,LUAS The Point,LUAS Iosta na Rinne,LUAS Tallaght,LUAS Tamhlacht,Inbound,LUAS,3,,no,Red,18/02/2020 21:18:26,true,luas15
18/02/2020 21:33:34,9,18/02/2020 21:33:34,9,18/02/2020 21:34:00,18/02/2020 21:34:00,LUAS Tallaght,LUAS Tamhlacht,LUAS The Point,LUAS Iosta na Rinne,Outbound,LUAS,3,,no,Red,18/02/2020 21:21:43,true,luas15
18/02/2020 21:42:20,18,18/02/2020 21:42:20,18,18/02/2020 21:42:00,18/02/2020 21:42:00,LUAS The Point,LUAS Iosta na Rinne,LUAS Tallaght,LUAS Tamhlacht,Inbound,LUAS,3,,no,Red,18/02/2020 21:23:22,true,luas15
18/02/2020 21:27:43,4,18/02/2020 21:27:43,4,18/02/2020 21:28:00,18/02/2020 21:28:00,LUAS The Point,LUAS Iosta na Rinne,LUAS Tallaght,LUAS Tamhlacht,Inbound,LUAS,3,,no,Red,18/02/2020 21:08:31,true,luas16
