arrivaldatetime,duetime,departuredatetime,departureduetime,scheduledarrivaldatetime,scheduleddeparturedatetime,destination,destinationlocalized,origin,originlocalized,direction,operator,operatortype,additionalinformation,lowfloorstatus,route,sourcetimestamp,monitored,stopid
18/02/2020 19:58:55,2,18/02/2020 19:58:55,2,18/02/2020 19:43:00,18/02/2020 19:43:00,DCU,DCU,Enniskerry Village,Enniskerry Village,Inbound,bac,1,,no,44,18/02/2020 19:54:10,true,12
18/02/2020 19:58:57,2,18/02/2020 19:58:57,2,18/02/2020 19:54:00,18/02/2020 19:54:00,Dublin Airport,Aerfort,Brehon Field Rd,Brehon Field Rd,Inbound,bac,1,,no,16,18/02/2020 19:55:49,true,12
18/02/2020 19:58:58,2,18/02/2020 19:58:58,2,18/02/2020 19:50:00,18/02/2020 19:50:00,Shanard Road, ,Park Avenue,Park Avenue,Inbound,bac,1,,no,1,18/02/2020 19:55:49,true,12
18/02/2020 20:06:29,10,18/02/2020 20:06:29,10,18/02/2020 19:57:00,18/02/2020 19:57:00,Ashington,Ashington,Drimnagh Rd,Drimnagh Rd,Inbound,bac,1,,no,122,18/02/2020 19:49:13,true,12
18/02/2020 20:07:30,11,18/02/2020 20:07:30,11,18/02/2020 20:03:00,18/02/2020 20:03:00,Dublin Airport,Aerfort,Brehon Field Rd,Brehon Field Rd,Inbound,bac,1,,no,16,18/02/2020 19:52:31,true,12
18/02/2020 20:09:46,13,18/02/2020 20:09:46,13,18/02/2020 20:10:00,18/02/2020 20:10:00,Shanard Road, ,Park Avenue,Park Avenue,Inbound,bac,1,,no,1,18/02/2020 19:11:16,true,12
18/02/2020 20:15:38,19,18/02/2020 20:15:38,19,18/02/2020 20:18:00,18/02/2020 20:18:00,Dublin Airport,Aerfort,Brehon Field Rd,Brehon Field Rd,Inbound,bac,1,,no,16,18/02/2020 19:55:49,true,12
18/02/2020 20:19:29,23,18/02/2020 20:19:29,23,18/02/2020 20:17:00,18/02/2020 20:17:00,Ashington,Ashington,Drimnagh Rd,Drimnagh Rd,Inbound,bac,1,,no,122,18/02/2020 19:55:49,true,12
18/02/2020 20:20:00,23,18/02/2020 20:20:00,23,18/02/2020 20:18:00,18/02/2020 20:18:00,St Pappin's Rd,St Pappin's Rd,Blackthorn Road,Blackthorn Road,Inbound,bac,1,,no,11,18/02/2020 19:47:34,true,12
18/02/2020 20:29:46,33,18/02/2020 20:29:46,33,18/02/2020 20:30:00,18/02/2020 20:30:00,Shanard Road, ,Park Avenue,Park Avenue,Inbound,bac,1,,no,1,18/02/2020 19:31:03,true,12
18/02/2020 20:33:07,36,18/02/2020 20:33:07,36,18/02/2020 20:33:00,18/02/2020 20:33:00,Dublin Airport,Aerfort,Brehon Field Rd,Brehon Field Rd,Inbound,bac,1,,no,16,18/02/2020 19:34:21,true,12
18/02/2020 20:42:27,46,18/02/2020 20:42:27,46,18/02/2020 20:42:00,18/02/2020 20:42:00,Ashington,Ashington,Drimnagh Rd,Drimnagh Rd,Inbound,bac,1,,no,122,18/02/2020 19:42:37,true,12
18/02/2020 20:47:54,51,18/02/2020 20:47:54,51,18/02/2020 20:48:00,18/02/2020 20:48:00,St Pappin's Rd,St Pappin's Rd,Blackthorn Road,Blackthorn Road,Inbound,bac,1,,no,11,18/02/2020 19:49:13,true,12
18/02/2020 20:48:07,51,18/02/2020 20:48:07,51,18/02/2020 20:48:00,18/02/2020 20:48:00,Dublin Airport,Aerfort,Brehon Field Rd,Brehon Field Rd,Inbound,bac,1,,no,16,18/02/2020 19:49:13,true,12
18/02/2020 20:49:46,53,18/02/2020 20:49:46,53,18/02/2020 20:50:00,18/02/2020 20:50:00,Shanard Road, ,Park Avenue,Park Avenue,Inbound,bac,1,,no,1,18/02/2020 19:50:52,true,12
,,,,,,,,,,,,,,,,,,
18/02/2020 19:57:27,1,18/02/2020 19:57:27,1,18/02/2020 19:44:00,18/02/2020 19:44:00,Harristown,Baile Anraí,Grange Castle,Caisleán na Gráinsí,Inbound,bac,1,,no,13,18/02/2020 19:54:10,true,14
18/02/2020 19:59:48,3,18/02/2020 19:59:48,3,18/02/2020 19:44:00,18/02/2020 19:44:00,DCU,DCU,Enniskerry Village,Enniskerry Village,Inbound,bac,1,,no,44,18/02/2020 19:54:10,true,14
18/02/2020 20:00:02,3,18/02/2020 20:00:02,3,18/02/2020 19:55:00,18/02/2020 19:55:00,Dublin Airport,Aerfort,Brehon Field Rd,Brehon Field Rd,Inbound,bac,1,,no,16,18/02/2020 19:55:49,true,14
18/02/2020 20:00:06,3,18/02/2020 20:00:06,3,18/02/2020 19:51:00,18/02/2020 19:51:00,Shanard Road, ,Park Avenue,Park Avenue,Inbound,bac,1,,no,1,18/02/2020 19:55:49,true,14
18/02/2020 20:00:54,4,18/02/2020 20:00:54,4,18/02/2020 19:56:00,18/02/2020 19:56:00,Charlestown,Baile Shéarlais,Fonthill Rd,Fonthill Rd,Inbound,bac,1,,no,40,18/02/2020 19:52:31,true,14
18/02/2020 20:03:02,6,18/02/2020 20:03:02,6,18/02/2020 19:59:00,18/02/2020 19:59:00,Harristown,Baile Anraí,Grange Castle,Caisleán na Gráinsí,Inbound,bac,1,,no,13,18/02/2020 19:49:13,true,14
18/02/2020 20:04:59,8,18/02/2020 20:04:59,8,18/02/2020 20:05:00,18/02/2020 20:05:00,Tyrrelstown,Baile an Tirialaigh,Parnell Street,Parnell Street,Outbound,bac,1,,no,40D,18/02/2020 19:06:20,true,14
18/02/2020 20:07:29,11,18/02/2020 20:07:29,11,18/02/2020 19:58:00,18/02/2020 19:58:00,Ashington,Ashington,Drimnagh Rd,Drimnagh Rd,Inbound,bac,1,,no,122,18/02/2020 19:49:13,true,14
